,name,text_cleaned,year
0,CIMB,"PERFORMANCE SCORECARD Developed transparent performance indicators to measure and demonstrate progress page 21 SUSTAINA BILITY R EPORT 2020 CLIMATE ACTION Committed to exit the coal sector by 2040 page 60 POSITIVE IMPACT Developed the Green, Social and Sustainable Impacts Products and Services Framework page 65 Delivering Sustainable Financial Returns Disciplined Execution Customer Centricity Transform Fundamentals Purpose-Driven Organisation PROGRESSING RESPONSIBLY Reducing the Environmental Impacts of this Annual Report We have taken conscious efforts to manage and minimise the environmental impact of our annual report and related processes.",2020.0
1,CIMB,"com The total carbon footprint for printing CIMB Annual Report 2020 was 11,588kgCO2e, 14,987kgCO2e for our 2019 annual report.",2020.0
2,CIMB,We are committed to reducing the environmental impact of our annual report and will continue working to reduce the amount of greenhouse gasses (GHG) emitted throughout the entire designing and printing process.,2020.0
3,CIMB,"Printed with carbon neutral press machines, eco materials and managed under and ISO 14001:2015 management system to minimise environmental environmental certified with impact.",2020.0
4,CIMB,"What’s Inside this Report 7 9 9 CIMB AT A GL ANCE 3 Group Profile 6 Our Purpose Sustainability: A Way of Business ABOUT CIMB SUS TAINABILIT Y REPORT 2020 8 8 Forward: ASEAN’s Sustainable Banking Agenda Business Case: Profits with Purpose 8 9 Scope: Reporting Coverage and Principles Beyond Standards: An Accurate Account to Stakeholders Reliability: Assurance of The Quality of Reporting Feedback: Review for Continuous Improvement SUS TAINABILIT Y LE ADER SHIP 10 SUSTAINABILITY PROGRESS REPORT by Group Chairman and Group CEO 12 OUR BUSINESS CASE by Sustainability Sponsor on the Board 14 AN INDEPENDENT SUSTAINABILITY REVIEW by IEEFA SUS TAINABILIT Y PRINCIPLES & S TR ATEGIES 16 Our Philosophy 16 Our Roadmap 18 Our Stakeholders 20 Our Material Matters 21 Sustainability Scorecard 24 Alignment to Global Goals and Industry Initiatives VALUE CRE ATION 26 Sustainable Action 27 Climate Change 34 Sustainable Supply Chain 50 Sustainable Business 51 Customer Experience 56 Sustainable Finance 36 Diversity and Inclusion 38 Health, Safety and Well-being 44 Talent Attraction, Growth, and Retention 73 Technology 79 Financial Literacy, Inclusion, and Well-being 86 Corporate Social Responsibility 87 Corporate Citizenship and Volunteerism 98 Governance and Risk 99 Governance 107 Corporate Culture 112 Stakeholder Engagement and Advocacy 113 Sustainability Awareness and Participation PERFORMANCE DATA 124 Customers 127 Employees REFERENCE 133 Suppliers 133 Community 134 Environment 139 Global Reporting Initiative (GRI) Content Index 148 UNEP FI Principles for Responsible Banking (PRB) Index 159 Statement of Assurance 2 CIMB Group Holdings Berhad Sustainability Report 2020 CIMB at a Glance GROUP PROFILE (GRI 102-2, 102-4, 102-6, 102-7) CIMB Group is a leading focused ASEAN universal bank, one of the region’s foremost corporate advisors, and a world leader in Islamic finance.",2020.0
5,CIMB,"We aim to deliver sustainable financial returns for shareholders, which means that we strive to look beyond the challenges and risks of today, to medium and longer-term risks such as climate change, biodiversity loss and worsening social inequality leading to unrest and economic disruptions.",2020.0
6,CIMB,"This means 10 CIMB Group Holdings Berhad Sustainability Report 2020 Sustainability Progress Report begin shaping robust mechanisms to mitigate risks, such as rising inequalities in society, deterioration of biodiversity, and impacts of climate change.",2020.0
7,CIMB,"Being a founding member of the United Nations Environment Programme Finance Initiative (UNEP FI) Principles for Responsible Banking (PRB) and a signatory of the Collective Commitment to Climate Action (CCCA), we have started to align our portfolio with the 1.",2020.0
8,CIMB,"The announcement of CIMB’s Coal Sector Guide, and our commitment to phase out coal from our portfolio by 2040 is a testament of CIMB’s commitment to support an orderly climate transition.",2020.0
9,CIMB,"Effective across the Group from 2021 onwards, the Guide prohibits asset-level or general corporate financing for new thermal coal mines and coal-fired power plants, as well as expansions, except where there is an existing commitment.",2020.0
10,CIMB,"Concurrently, we will intensify our efforts to support economic development in the region via cleaner forms of energy.",2020.0
11,CIMB,"Through our Green, Social, Sustainable Impact Products and Services (GSSIPS) Framework, we are designing financial solutions that contribute to mitigating issues around energy, food, water, health, social equality and equity.",2020.0
12,CIMB,"We continue to expand our suite of sustainable products and services, including Sustainability-Linked Loans, SME Renewable Energy Financing and GreenBizReady.",2020.0
13,CIMB,"These support and incentivise existing and new clients, including those that are operating in the brown sectors, to transition towards a more equitable, low-carbon and climate- resilient economy.",2020.0
14,CIMB,"Through the Joint Committee on Climate Change (JC3), we are pursuing collaborative actions for building climate resilience within the Malaysian finance sector.",2020.0
15,CIMB,"Such flows will not only support the sectors in navigating the current pandemic, but will make them more resilient to future crises such as climate change and biodiversity loss.",2020.0
16,CIMB,"These will include specific measures designed to address dependence on fossil fuels, excessive energy utilisation, depleting natural capital, etc.",2020.0
17,CIMB,"Late last year at the onset of the pandemic, the New Zealand parliament passed a landmark legislation that will help the country achieve zero net carbon dioxide emissions by 2050.",2020.0
18,CIMB,"At the UN General Assembly in September 2020, China too made an ambitious pledge to go carbon neutral by 2060, which is the country’s first ever long-term climate goal.",2020.0
19,CIMB,"The Singapore Budget included progressive measures such as funding and incentive schemes related to energy efficiency, sustainable finance, urban solutions, water technology, and workforce.",2020.0
