,name,text_cleaned,year,type
0,BOC,,2020.0,ab
1,RHB,"9% reduction in energy consumption equivalent to 672,419 kg CO2e 11% reduction in water consumption Reduced paper consumption by 8.",2018.0,ab
2,RHB,"In the long-term, we aim to minimise our impact on the environment, by not only reducing our direct and indirect emissions, but also by driving green initiatives and programmes.",2018.0,ab
3,RHB,"6% of global industrial GHG emissions since 1988, according to the Carbon Majors Report by the Carbon Disclosure Project.",2018.0,ab
4,RHB,"Here at RHB, we aim to manage and reduce our carbon footprint in good faith, also in support of Malaysia’s commitment to the Paris Agreement to reduce GHG emissions intensity of GDP by 45% by 2030 relative to the emissions intensity of GDP in 2005.",2018.0,ab
5,RHB,"As part of its most recent initiative to tackle GHG emissions, RHB has installed an electric and hybrid car charging station at its Head Office, which is expected to encourage the use of hybrid cars as well as reduce the carbon footprint of our employees.",2018.0,ab
6,RHB,"GRI 305: Emissions 2016 305-5 Reduction of GHG emissions Sustainability Report 2018: Page 66 672,419kgCO2e (Scope 2) Y-o-Y reduction from 2017.",2018.0,ab
7,Shinhan,"Initiative Report Joined March 2007, and named Carbon Management Sector Honors in 2018 Joined January 2008 Joined May 2008 Joined September 2018 Joined September 2019 Carbon Disclosure Project (CDP) A project which aims to make environmental reporting and risk management a business standard and drive disclosure, insight, and action on sustainable economies UN Environmental Programme Finance Initiative (UNEP FI) Public-private partnership between the UNEP and the financial sector UN Global Compact (UNGC) A UN pact that encourages businesses to fulfill their social responsibilities and be inspired for socially responsible policies Task Force on Climate-related Financial Disclosures (TCFD) A task force for disclosing financial information related to climate change UNEP FI Principles for Responsible Banking (PRB) A framework for ensuring that signatory banks’ practice for the UN SDGs and the Paris Climate Agreement UNEP FI Finance Initiative Social Value Initiative TCFD Report PRB Report Joined February 2020 Joined September 2020 Joined November 2020 Joined November 2020 Joined March 2021 Joined April 2021 UNEP FI Principles for Sustainable Insurance (PSI) A guide for the insurance industry to align sustainability factors with operation strategy, risk management, product governance, and other management activities Equator Principles An agreement among financial institutions not to finance large development projects that can harm the environment or violate human rights Partnership for Carbon Accounting Financials (PCAF) A global partnership of financial institutions to develop an approach to assess and disclose the greenhouse gas emissions associated with their loans and investments Science Based Target initiative (SBTi) A global initiative developed to help companies set a target in line with science-based reduction criteria (1.",2020.0,ab
8,Shinhan,"03 APPENDIX E 20 01 BUSINESS REPORT INTRODUCTION SHINHAN ESG WAY ENVIRONMENTAL SOCIAL GOVERNANCE 02 INITIATIVE REPORT 03 APPENDIX 21 Green Finance Green Financing ・ Disclosed our goal of making the Group asset portfolio’s carbon emissions “zero” by 2050 by expanding green financing to fulfill our roles as a financial institution for future generations ・ In accordance with the Group’s eco-friendly strategy, “Zero Carbon Drive”, set the goal for green financing at KRW 30 trillion, 15 times larger than 2020 figure, by 2030 L A T N E M N O R V N E I Zero Carbon Drive – Goal for Green Finance Cumulative figure of the previous year Loan PF Investment 20.",2020.0,ab
9,Shinhan,"3 KRW billion Green Financing in 2020 2020 2021 2022 2023 2024 2025 2026 2027 2028 2029 2030 1) Excluding fund investment performance of the Group subsidiaries (included in green investment) 2) Including investment performance of asset managers and fund sales performance of fund distributors, such as banks and securities companies 01 BUSINESS REPORT INTRODUCTION SHINHAN ESG WAY ENVIRONMENTAL SOCIAL GOVERNANCE 02 INITIATIVE REPORT 03 APPENDIX 22 L A T N E M N O R V N E I Green Financing Activities Suited for Each Group Subsidiary to Facilitate a Smooth Shift to a Low-Carbon Economy ・ Support the transition to a low-carbon economy through green financing activities suited for the Group subsidiaries since the declaration of the Zero Carbon Drive – the first carbon neutral strategy by a financial group in North Asia Launched an ESG evaluation-based financial product Presented determination criteria for ESG investments [Shinhan Bank] Outstanding Win-Win ESG Support Loan [Shinhan Investment] ESG Consensus Expand ESG evaluation-based financial products and support outstanding companies that are excel in eco-friendly and social Set standards for ESG investment by enabling analysis and comparison of ESG indicators of companies subject to investment through contribution activities the ESG Consensus Presented its own ESG investment principles and strategies [Shinhan Asset Management] ESG Engagement Expand ESG disclosure and reflect ESG factors in overall management 210KRW billion (March-April 2021) 0.",2020.0,ab
