,name,text_cleaned,year,type
0,Barings,"Seek sustainable opportunities that deliver long-term value to our clients Act as successful stewards of our clients’ capital Integrate environmental, social and governance considerations into our investment process and business practices Advocate to support good environmental, social and governance practices Encourage and nurture diversity in our culture and associates I N O U R C O M M U N I T I E S which we live, work and invest Partner with local organizations to build stronger, more vibrant and resilient communities in Encourage all associates to give back through local engagement, volunteer activities and by Barings’ matching of charitable contribution I N O U R W O R L D Do our part to protect our global environment in pursuit of a sustainable future Reduce the environmental footprint of our offices globally Contribute to the regeneration of our natural world Further the mission of the United Nations Global Compact, the United Nations Sustainable Development Goals, Climate Action 100+ and the Task Force on Climate-Related Financial Disclosures (“TCFD”) B A R I N G S S U S TA I N A B I L I T Y P O L I C Y 2 0 2 0 | 5 O U R A P P R O A C H W E T H I N K L O N G -T E R M Barings is a subsidiary of MassMutual, which gives us the financial stability and flexibility to take a long-term approach.",2020.0,am
1,Barings,This includes: • Recording our consumption of resources and associated waste • Recording our emissions R E D U C E the adverse environmental impact of our global business operations.,2020.0,am
2,Barings,"This includes: • Reducing, and improving the efficiency of, our consumption of resources • Reducing our carbon footprint in order to lower our impact on climate change • Managing our business operations to prevent pollution • Reducing the waste that we send to landfill, and increasing re-usage and recycling • Factoring environmental issues into business decisions R E G E N E R AT E the environment through our global business operations.",2020.0,am
3,Barings,"The consequences of climate risks may already be impacting our clients, our communities, and our world, and these impacts are likely to escalate further.",2020.0,am
4,Barings,"W E C O M M I T T O : • Make efforts to reduce our adverse impacts on our communities and world • Apply circular economy principles in our operations wherever possible • Analyze and, where possible, mitigate the potential risks arising from climate change to protect value for clients Barings wants to protect its clients from any emerging risks.",2020.0,am
5,Barings,"This should help us to protect our clients, communities and the world from adverse impacts through taking actions to avoid the physical, regulatory and transition risks of climate change, and capitalizing on the investment potential of a future net zero carbon world.",2020.0,am
6,Barings,"We seek to employ circular economy principles in our offices globally, where feasible, in our efforts to reduce the emissions and waste that contribute to climate change, and have many measures in place to try to mitigate our impact on the environment.",2020.0,am
7,Barings,"In our investment activities we integrate the analysis of ESG topics, including climate change, into our investment process across our asset classes in order to better understand the risks and opportunities associated with a changing world.",2020.0,am
8,Barings,We advocate for more responsible and sustainable behavior with regards to climate change through our stewardship activities.,2020.0,am
9,Barings,"We have signed a statement to G7 and G20 governments in support of the Paris Climate Agreement, urging these governments to continue to uphold the Agreement’s principles aimed at combatting climate change.",2020.0,am
10,Barings,"The Paris Agreement’s aim is to strengthen the global response to the threat of climate change by keeping global temperature rise well below 2 degrees Celsius above pre-industrial levels in this century, and to reduce cost and risk further ideally below 1.",2020.0,am
11,Barings,"The UNGC states that: “The world today is facing unprecedented, interconnected environmental challenges in areas including climate change, water, energy, biodiversity and agriculture.",2020.0,am
12,Barings,"In addition, we are proud participants in Climate Action 100+, an investor initiative to ensure the world’s largest corporate greenhouse gas emitters take necessary action on climate change.",2020.0,am
13,Barings,"The companies that participants engage with include 100 ‘systemically important emitters,’ accounting for two-thirds of annual global industrial emissions, alongside more than 60 others with significant opportunity to drive the clean energy transition.",2020.0,am
14,Barings,"We work to tackle climate change alongside other investors through our public support of the Task Force on Climate-Related Financial Disclosures, as well as through our participation in the collaborative engagements of Climate Action 100+.",2020.0,am
15,Barings,"This initiative allocated funds toward a broad range of high impact areas including clean energy infrastructure finance, green bonds, project finance and green asset-backed securities, amongst others.",2020.0,am
16,Barings,Barings was involved in three deals that mobilized over $1 billion in sustainable energy development globally.,2020.0,am
17,HSBC,,2021.0,am
18,BNP,"Faced with the need, highlighted by this crisis, to better preserve the common good, the challenges related to climate change and the ecological transition are becoming even more important.",2020.0,am
19,BNP,"Likewise, we have long held the conviction that greater integration of the capital markets of the Member States would make it possible to direct savings, which are substantial in the period we are going through, towards significant investment needs related to the energy transition or digital innovation, the spearheads of balanced and sustainable growth.",2020.0,am
20,BNP,"In addition to the exclusion from our financing portfolio of any new company focused on oil and shale gas, and gradually of those active in thermal coal(1), we have integrated Environmental, Social and Governance (ESG) criteria into all our operational processes.",2020.0,am
21,BNP,"We intend to continue along this path and even accelerate: we are aligning our loan portfolio with the trajectory provided for by the Paris Climate Agreement, of a warming limited to two degrees, tending towards 1.",2020.0,am
22,BNP,"Convinced that protecting biodiversity is an absolute necessity, just like the climate, we are going to increase our financing commitments with a positive impact on biodiversity to 3 billion euros.",2020.0,am
23,BNP,"More broadly, by the end of 2022, our financing in favour of the energy ”We are very active on sustainable finance issues and, by contributing significantly to the financing of our customers’ ecological transition, we are supporting the migration to a more responsible model”.",2020.0,am
24,BNP,"Seven have emerged as particularly crucial: personal data, ethics and compliance, climate change and energy transition, a fair and inclusive working environment, customer satisfaction, the economic value of the company and digital transformation.",2020.0,am
25,BNP,ADAPTING TO A COMPLEX ECONOMIC AND REGULATORY ENVIRONMENT Ethics and compliance Data privacy Corporate economic value Governance Fair competitive practices Transparent practices Human rights Business continuity plan Geopolitical risk ACCELERATING THE TRANSITION TO AN INCLUSIVE AND SUSTAINABLE ECONOMY Climate change and energy transition Fair and inclusive workplace Ethics and compliance Operational environmental impact Responsible investments and financing Transparent practices Employment practices Human rights Responsible procurement Protection of biodiversity USING TECHNOLOGY TO ENHANCE CUSTOMER EXPERIENCE Data privacy Digital transformation Customer satisfaction Talent development COMBINING THE STRENGTH OF A GLOBAL MODEL WITH REGIONAL PROXIMITY Customer satisfaction Business continuity plan Accessibility for all to products and services Support for local communities 18 — 2020 Integrated Report — 19 Crucial issues Major issues Important issues These challenges are part of the BNP Paribas materiality matrix created in December 2018 that highlight the perception and importance of around a hundred issues for the external and internal stakeholders of the Group.,2020.0,am
26,BNP,The increased vigilance of the supervisory authorities in terms of climate risks and the emergence of new expectations regarding their inclusion in measurement and management systems could lead to new capital requirements.,2020.0,am
27,BNP,"BNP Paribas’ Corporate Social Responsibility strategy makes solid contributions to the achievement of the UN’s 17 Sustainable Development Goals (SDGs), which target eliminating poverty, strengthening our actions for the climate and ensuring a prosperous future for all.",2020.0,am
28,BNP,"Today One million animal and plant species are threatened with extinction (IPBES, Intergovernmental Platform for Biodiversity and Ecosystem Services) 64% the increase in global CO2 emissions between 1990 and 2017 (General Commission for Sustainable Development, France, 2020) At a time when health, environmental and social crises are piling up, it is urgent to accelerate our advancement towards a society that is both more united and more respectful of the environment.",2020.0,am
