,Company,Initiatives
0,Maybank,"['Carbon Disclosure Project', 'Sustainable Development Goals', 'Climate Bonds Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Global Reporting Initiative']"
1,UOB,"['Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Asia Sustainable Finance Initiative', 'Partnership for Carbon Accounting Financials', 'Sustainability Linked Loan Principles', 'Green Bond Principles', 'Intergovernmental Panel on Climate Change']"
2,AIIB,"['Sustainable Development Goals', 'United Nations Framework Convention on Climate Change']"
3,BRI,"['Green Bond Principles', 'Sustainable Development Goals', 'Sustainability Banking Assessment', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Principles for Responsible Banking', 'United Nations Framework Convention on Climate Change']"
4,CHBank,['Stock Exchange of Hong Kong']
5,Mizuho,"['Equator Principles', 'Partnership for Carbon Accounting Financials']"
6,CMB,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Green Bond Principles', 'Stock Exchange of Hong Kong']"
7,SBI,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Climate Bonds Initiative']"
8,Dahsing,['Stock Exchange of Hong Kong']
9,Hana,"['Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainable Development Goals', 'UN Global Compact', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles', 'Carbon Disclosure Project']"
10,Krungthai,"['Global Reporting Initiative', 'Sustainable Development Goals']"
11,Danamon,"['Sustainable Development Goals', 'Global Reporting Initiative']"
12,CIMB,"['Sustainable Development Goals', 'UN Global Compact', 'Green Bond Principles', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainability Accounting Standards Board', 'Collective Commitment to Climate Action', 'Task Force on Climate-related Financial Disclosure', 'Global Investors for Sustainable Development Alliance ', 'Asia Sustainable Finance Initiative', 'ASEAN Green Bond Standards', 'United Nations Framework Convention on Climate Change', 'FTSE Russell', 'Stock Exchange of Hong Kong']"
13,BangkokBank,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Intergovernmental Panel on Climate Change']"
14,BEA,"['Stock Exchange of Hong Kong', 'Carbon Disclosure Project', 'Equator Principles', 'Principles for Responsible Investment', 'Global Reporting Initiative']"
15,HSBCBank,"['Sustainable Markets Initiative', 'Task Force on Climate-related Financial Disclosure', 'Paris Agreement Capital Transition Assessment', 'Stock Exchange of Hong Kong', 'Equator Principles', 'Intergovernmental Panel on Climate Change', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Carbon Disclosure Project']"
16,CITICBank,"['Stock Exchange of Hong Kong', 'Global Reporting Initiative', 'Sustainable Development Goals', 'Intergovernmental Panel on Climate Change']"
17,OCBC,"['Global Reporting Initiative', 'Sustainable Development Goals', 'Equator Principles', 'Asia Sustainable Finance Initiative', 'Intergovernmental Panel on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles', 'UN Global Compact']"
18,RHB,"['Global Reporting Initiative', 'Sustainable Development Goals', 'ASEAN Green Bond Standards', 'UN Global Compact', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles', 'United Nations Framework Convention on Climate Change', 'Sustainability Accounting Standards Board', 'Carbon Disclosure Project']"
19,BDO,"['Sustainable Development Goals', 'Global Reporting Initiative', 'United Nations Framework Convention on Climate Change']"
20,CCB,"['Global Reporting Initiative', 'Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure']"
21,SCB,"['FTSE Russell', 'Sustainable Development Goals', 'ASEAN Green Bond Standards', 'Green Bond Principles', 'Climate Bonds Initiative', 'Equator Principles', 'Task Force on Climate-related Financial Disclosure', 'Intergovernmental Panel on Climate Change']"
22,MUFG,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles', 'Partnership for Carbon Accounting Financials', 'Science Based Targets initiative', 'Keidanren Challenge Zero', 'Poseidon Principles', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Banking', 'Principles for Responsible Investment', 'UN Global Compact', 'Sustainability Accounting Standards Board', 'FTSE Russell', 'United Nations Environment Program Finance Initiative', 'Carbon Disclosure Project', 'Climate Action 100+', 'Green Bond Principles', 'Climate Bonds Initiative', 'Intergovernmental Panel on Climate Change']"
23,BOC,"['Stock Exchange of Hong Kong', 'Green Investment Principle', 'Green Bond Principles', 'International Platform on Sustainable Finance', 'Task Force on Climate-related Financial Disclosure']"
24,HLB,"['Global Reporting Initiative', 'Sustainable Development Goals', 'IFC Performance Standard', 'Task Force on Climate-related Financial Disclosure']"
25,DBS,"['UN Global Compact', 'Sustainability Accounting Standards Board', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles', 'Carbon Disclosure Project', 'Green Investment Principle', 'Sustainable Development Goals']"
26,BNI,['Sustainable Development Goals']
27,PSBC,"['Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change']"
28,Mandiri,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'United Nations Framework Convention on Climate Change', 'Global Reporting Initiative']"
