,name,text_cleaned,year
0,Natixis,UK France UK Stewardship code Mandatory climate-related disclosures (TCFD-aligned) UK Green taxonomy Mandatory ESG reporting for asset managers (so-called “article 173”) ESG fund names and marketing communications Adopted Under discussion Future developments United States DoL rule on Financial Factors in Selecting Plan Investments SEC fund names rule Singapore Guidelines on Environmental Risk Management & disclosures Singapore green taxonomy 5 Source: Natixis Investment Managers (as of 3/23/21).,2021.0
1,Natixis,NA T I XIS CENTER FOR I NVESTOR INSI GHT Europe Disclosure framework EU Taxonomy ESG product distribution rule ESG risk integration EU Ecolabel for funds Non-financial reporting standards for corporates EU Green Bond Standard ESG data & ratings Sustainable corporate governance Japan Revised Japan Stewardship Code Hong Kong SFC Guidance on green funds Climate Risk Requirements for Asset Managers 2.,2021.0
2,Natixis,5 W hy fund selectors say they are W hat fund selectors say is driving adding ESG Investor demand To align investment strategies with organizational values / investor values 35% Firm mandate To generate higher risk-adjusted returns over the long term To minimize headline risk To access new return sources To enhance downside protection 61% 55% 25% 23% 22% 18% 16% investor demand Growing social awareness among investors ESG has become more mainstream Desire to participate in the green economy Climate change Changing demographics of client base 75% 50% 42% 36% 27% 11% To benefit from new sources of diversification Need for better risk management Source: Natixis Investment Managers 2021 Professional Fund Buyer Outlook5 7 See page 17 for footnotes 3.,2021.0
3,Natixis,"com/intl/research/esg-investing-survey-insights-report NA T I XIS CENTER FOR I NVESTOR INSI GHT Glossary of ESG terms • ESG (environmental, social, governance) is widely used in the investment industry to describe three types of non-financial factors that may affect the financial performance of a company or a security: • • Environmental includes factors related to renewable energy, lower carbon emissions, water management, pollution control and other ecological concerns.",2021.0
4,Aegon,RI Policy Update Investment Analysis ESG Next Barclays Research Workshops ESG Integration ESG Next – Sovereigns ESG Next – US High Yield Monitoring ESG in External Managers Long-Term Investing PRI’s ESG Credit Ratings Initiative GRESB ESG Investing at Saemor Capital Targeted Investments Impact Investment at Aegon Asset Management Sustainable Development Goals (SDGs) The Impact of Micro-Finance Housing Debt Strategy US Workforce Housing New Types of Investment Vehicles Climate Change Recommendations from the Task-Force on Climate-Related Financial Disclosures (TCFD) TCFD Recommendations and Recommended Disclosures Clean Energy Project Active Ownership Engagement Engagement at Aegon Asset Management Climate-Related Financial Risk in the Steel Industry Investors for Opioid Accountability (IOA) FAIRR- Antibiotic resistance Engaging with Policy Makers and Standard Setting Organizations Voting Exclusions Appendices Cooperation and Collaborative Bodies Composition of Global Responsible Investment Committees Disclaimer Policies and Business Unit RI and Voting Reports List of Abbreviations Responsible Investment in 10 Steps 3 4 6 8 9 10 12 14 16 18 20 21 21 22 23 24 26 28 31 32 33 34 36 37 38 42 43 44 47 49 50 52 54 55 56 58 58 59 60 61 62 64 65 68 69 70 71 72 2 3 3.,2017.0
5,Aegon,"For the third consecutive year, almost half declared ""climate change/destruction of nature"" as their greatest concern.",2017.0
6,Aegon,"Aegon shares these concerns and has developed its own commitments and actions toward tackling climate change, as well as society and the environment at large.",2017.0
7,Aegon,We are also actively engaging with companies on climate issues and have established a working group to put in place the recommendations of the Financial Stability Board’s (FSB) Taskforce on Climate-related Financial Disclosure (TCFD).,2017.0
8,Aegon,"Importantly, we combine dialogue with action – we continue to look for clean energy investment opportunities.",2017.0
9,Aegon,"Responsible Investment as part of a Responsible Business In last year’s report, I described my own experience of climate change - the catastrophe of bushfires.",2017.0
10,Aegon,"They are not started by climate change, but their ferocity and devastation are certainly fuelled by conditions linked to climate change.",2017.0
11,Aegon,"At Aegon, responsible investment and dealing with climate change are part of a broader approach to responsible business.",2017.0
12,Aegon,"joins the GIIN 2014 • AAM conducts carbon footprint analysis on fixed income portfolios 2011 2012 2013 2015 2016 • AAM integrates ESG ratings into investment research ""tear sheets"" • Aegon N.",2017.0
13,Aegon,revamps RI governance • AAM makes climate change a key priority and invests in renewable energy • AAM makes RI a 2020 strategic initiative • AAM makes first micro-finance investments 8 9 3 All investment staff is eligible.,2017.0
14,Aegon,installs 539 solar panels on the roof of its main offices in The Hague providing an opportunity for local residents to benefit from clean energy tax incentives.,2017.0
15,Aegon,CEO Alex Wynaendts backs the Task-Force on Climate- Related Financial Disclosure (TCFD) recommendations.,2017.0
16,Aegon,• AAM participates in ShareAction engagement asking banks to manage and disclose their exposure to climate risks.,2017.0
17,Aegon,AAM joins investor calls at ExxonMobil's AGM urging the US oil company to publish regular assessments of the impact of climate change policies on its business; the resolution is passed by shareholders.,2017.0
18,Aegon,"AAM is ranked 12th out of 50 asset managers in Asset Owners Disclosure Project’s Global Climate Index, which rates asset managers management of climate issues4.",2017.0
19,Aegon,AAM becomes cornerstone investor in fund launched by FMO to finance renewable energy projects in emerging markets.,2017.0
20,Aegon,Aegon’s internal Climate Working Group meets for the first time; the working group will oversee Aegon’s approach to climate change issues.,2017.0
21,Aegon,com/events/events_page/ri_awards_2017_results/ • AAM chairs IIGCC roundtable with the steel industry to discuss how steel companies address and disclose climate-related financial risks.,2017.0
22,Aegon,"During the year, we also formalized the Aegon Climate Working Group, which will help identify and monitor climate related business risk.",2017.0
23,Aegon,"However, we see increasing interest from third- party clients, in particular in areas such as affordable housing and clean energy.",2017.0
24,Aegon,"Last year we decided to update the policy - to ensure it remains aligned with new insights in RI, and to reflect our views on climate change and impact investment.",2017.0
25,Aegon,"Infrastructure, with activities like wind and solar, is a promising market, but it is very sought-after so there is a lot of competition, and that drives down returns.",2017.0
26,Aegon,These included: • The impact of increased global renewable energy output on the country’s economy and ability to repay debt (the country is highly dependent on crude oil exports).,2017.0
27,Aegon,"Right now, climate change is a very important, high profile issue, but its relevance depends on the specific sector or industry.",2017.0
28,Aegon,"For example, often we’ll have discussions about environmental issues from a risk point of view, but we also realize that reducing waste and energy use can result in cost reductions and can add to a company’s bottom line.",2017.0
29,Aegon,"A corporate scandal – for example, the VW emissions case in 2015 – may severely impact a company’s share price.",2017.0
30,Aegon,One of this company’s properties started a pilot project in an office building to see how battery storage can smooth out energy spending.,2017.0
31,Aegon,"As the economy transitions to more renewable sources, battery storage will be key to regulating the intermittency of wind and solar energy.",2017.0
32,Aegon,"We have impact investments in affordable housing and care homes for the elderly, renewable energy, sustainable timber, micro-finance, development banks and green bonds.",2017.0
33,Aegon,"436 m 325 m Renewable Energy Investment in clean power, which reduces impact of energy use on the environment.",2017.0
34,Aegon,"US solar tax credit sites collectively produced enough energy in 2017 to provide the yearly electricity use of 31,000 homes17.",2017.0
35,Aegon,138 m Green residential mortgage-backed securities Securities include residences that emit approximately 14% less CO2 a year than traditional housing.,2017.0
36,Aegon,"9 m Sustainable timber Investment in more than 430,000 acres of sustainable timberland, helping take approximately 367,000 metric tons of CO2 a year out of the atmosphere19.",2017.0
37,Aegon,"UK Several “ethical” strategies in equities and fixed income NL Strategies based on an SRI index Hungary Climate change- themed equity strategy China SRI and green strategies 16 The metrics were developed using “The Local Economic Impact of Typical Housing Developments, National Association of Homebuilders, Washington, D.",2017.0
38,Aegon,"In fact, in some areas such as affordable housing and renewable energy we were investing long before the term “impact investment” became popular.",2017.0
39,Aegon,"We set up initiatives to encourage colleagues investing in different asset classes to think about the impact of their investments and to see if more positive impact investments could be made (a good example was the 2017 clean energy project, see page 52).",2017.0
40,Aegon,"Other examples are our cooperation with Dutch development bank FMO in establishing a strategy focused on renewable energy in emerging markets, and our membership of the GIIN Initiative for Institutional Impact Investment (see box text).",2017.0
41,Aegon,"Clean energy investments In 2017, Aegon launched a project to identify additional clean energy investment opportunities.",2017.0
42,Aegon,"In 2017, we also worked with FMO and Climate Fund Managers on a fund that will finance renewable energy in developing markets (see below).",2017.0
43,Aegon,"The UN Sustainable Development Goals are a set of 17 ambitious goals that aim to eliminate poverty, tackle climate change, and fight inequality over the coming twelve years.",2017.0
44,Aegon,"At a minimum, our investments in areas such as renewable energy, micro-finance, and affordable housing can be directly linked to the various goals (see page 35), and this is a good starting point.",2017.0
45,Aegon,"New Types of Investment Vehicles In July 2017, Aegon Asset Management made an investment in Climate Investor One (CIO), a financing facility proposed by Dutch development bank FMO, Climate Fund Managers and Phoenix Infraworks to provide “end-to-end” financing for renewable energy projects in developing markets.",2017.0
46,Aegon,"We spoke with Andrew Johnstone, CEO of Climate Fund Manager, a joint venture between FMO and Pheonix Infraworks and the manager of CIO, and Hendrik Tuch, Head of Rates & Money Markets at Aegon Asset Management, about their work and how Aegon Asset Management got involved in the project.",2017.0
47,Aegon,"At project level, CIO has real impact, providing low-income communities with jobs and energy, which also helps improve welfare, health, and education in a country.",2017.0
48,Aegon,CIO pushed all the right buttons: it would provide electricity and clean energy to regions where today there is a lack of access to energy.,2017.0
49,Aegon,"For the past 15 years, I have been investing in infrastructure for commercial and development reasons, but now that I’m doing it to address climate change, it connects me much more with what we need to do and the excitement is contagious.",2017.0
