,Company,Initiatives
0,Natixis,['Sustainable Development Goals']
1,Aegon,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'UN Global Compact', 'Global Real Estate Sustainability Benchmark', 'Investor Group on Climate Change', 'Institutional Investors Group on Climate Change', 'Carbon Disclosure Project', 'Green Bond Principles', 'Global Reporting Initiative']"
2,AVIVA,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Global Real Estate Sustainability Benchmark', 'Climate Action 100+', 'Intergovernmental Panel on Climate Change', 'Carbon Disclosure Project', 'Global Reporting Initiative', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Sustainability Accounting Standards Board', 'UN Global Compact']"
3,AegonAM,"['Sustainable Development Goals', 'Global Real Estate Sustainability Benchmark', 'UN Global Compact', 'Climate Action 100+', 'Intergovernmental Panel on Climate Change', 'Principles for Responsible Investment', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change']"
4,eastspring,[]
5,uob,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Asia Sustainable Finance Initiative', 'Partnership for Carbon Accounting Financials', 'Sustainability Linked Loan Principles', 'Green Bond Principles', 'Intergovernmental Panel on Climate Change']"
6,HANGSENG,"['Sustainable Development Goals', 'Equator Principles', 'Carbon Disclosure Project', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Stock Exchange of Hong Kong', 'Principles for Responsible Investment', 'UN Global Compact']"
7,FIDELITY,"['Climate Action 100+', 'Sustainable Markets Initiative', 'International Platform on Sustainable Finance', 'Global Real Estate Sustainability Benchmark', 'Science Based Targets initiative']"
8,CreditSuisse,"['Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Climate Bonds Initiative', 'Paris Agreement Capital Transition Assessment', 'Poseidon Principles', 'Equator Principles', 'Science Based Targets initiative', 'Principles for Responsible Banking', 'Global Real Estate Sustainability Benchmark', 'UN Global Compact', 'Green Bond Principles', 'Climate Action 100+', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Intergovernmental Panel on Climate Change']"
9,Ashmore,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'UN Global Compact', 'IFC Performance Standard']"
10,Ameriprise,"['Sustainable Development Goals', 'Sustainability Accounting Standards Board', 'Principles for Responsible Investment', 'FTSE Russell']"
11,EFUND,"['UN Global Compact', 'Principles for Responsible Investment', 'Climate Action 100+', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Investor Network on Climate Risk', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure']"
12,BlackRock,"['Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'IFC Performance Standard', 'Climate Action 100+', 'Climate Bonds Initiative', 'Institutional Investors Group on Climate Change', 'Investor Network on Climate Risk', 'FTSE Russell', 'Green Bond Principles', 'Intergovernmental Panel on Climate Change']"
13,Fisch,['Principles for Responsible Investment']
14,Manulife,"['Global Real Estate Sustainability Benchmark', 'Climate Action 100+', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Equator Principles', 'Carbon Disclosure Project', 'Science Based Targets initiative', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']"
15,ubs,"['Sustainable Development Goals', 'Net Zero Asset Managers initiative', 'Principles for Responsible Banking', 'Task Force on Climate-related Financial Disclosure', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'UN Global Compact', 'Climate Action 100+', 'Green Bond Principles', 'Paris Agreement Capital Transition Assessment', 'Institutional Investors Group on Climate Change', 'United Nations Framework Convention on Climate Change', 'Principles for Responsible Investment', 'IFC Performance Standard', 'Global Investors for Sustainable Development Alliance ', 'Green Investment Principle']"
16,BNP,"['Sustainable Development Goals', 'Paris Agreement Capital Transition Assessment', 'Poseidon Principles']"
17,AXA,"['Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Climate Action 100+', 'Net Zero Asset Managers initiative', 'Climate Bonds Initiative', 'UN Global Compact', 'Science Based Targets initiative', 'Carbon Disclosure Project', 'Sustainability Accounting Standards Board']"
18,Schroders,"['Science Based Targets initiative', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Principles for Responsible Investment', 'Net Zero Asset Managers initiative', 'Global Real Estate Sustainability Benchmark', 'International Corporate Governance Network', 'Global Reporting Initiative', 'UN Global Compact', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Institutional Investors Group on Climate Change', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+']"
19,BOA,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Markets Initiative', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Science Based Targets initiative']"
20,legal,"['Global Reporting Initiative', 'Science Based Targets initiative', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'UN Global Compact', 'Carbon Disclosure Project', 'The Greenhouse Gas Protocol', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']"
21,Morgan,"['Sustainable Development Goals', 'Sustainability Accounting Standards Board', 'Green Bond Principles', 'Principles for Responsible Investment', 'Investor Network on Climate Risk', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Partnership for Carbon Accounting Financials']"
22,Barings,"['Climate Action 100+', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'UN Global Compact']"
23,ABERDEEN,"['Sustainable Development Goals', 'UN Global Compact', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board']"
