FullName,ShortForm,Type
First Sentier Investors,1STSTATE,am
Standard Life Aberdeen,ABERDEEN,am
Aegon Asset Management,Aegon,am
AIA Group,AIA,ins
Asian Infrastructure Investment Bank,AIIB,ab
Allianz Global Investors,ALLIANZ,am
Ameriprise Financial,Ameriprise,am
AP Fonden 1,AP1,pf
AP Fonden 2,AP2,pf
AP Fonden 3,AP3,pf
AP Fonden 4,AP4,pf
AP Fonden 7,AP7,pf
Asahi Mutual Life Insurance,AsahiMutual,ins
Ashmore Group,Ashmore,am
Aviva Investors,AVIVA,am
AXA Insurance,AXA,ins 
AXA Investment Managers,AXAAM,am
Bangkok Bank,BangkokBank,ab
Barings,Barings,am
BDO Unibank,BDO,ab
Bank of East Asia,BEA,ab
BlackRock,BlackRock,am
Bank Negara Indonesia,BNI,ab
BNP Paribas,BNP,am
Bank of America,BOA,am
Bank of China,BOC,ab
Bank of China (Hong Kong),BOCHK,am
BOCOM International ,BOCOM,am
Bank Rakyat Indonesia,BRI,ab
Capital Group,CAPITAL,am
Cathay Life Insurance,Cathay,ins
China Construction Bank,CCB,ab
Chong Hing Bank,CHBank,ab
China International Capital Corporation,CICC,am
CIMB,CIMB,ab
Citibank,CitiBank,ab
China CITIC Bank,CITICBank,ab
CITIC Capital,CITICCapital,am
China Merchants Bank,CMB,ab
China Minsheng Bank,CMBC,am
CPP Investment Board,CPP,pf
Credit Suisse,CreditSuisse,am
Dah Sing Bank,Dahsing,ab
Dai-ichi Life,DaiichiLife,ins
Bank Danamon,Danamon,ab
DBS Bank,DBS,ab
Deutsche Bank,Deutsche,am
DGB Financial Group,DGB,ins
Edward Jones Investments,Edward,am
E Fund Management,EFUND,am
China Everbright Limited,EVERBRIGHT,am
Fonds de Compensation,FDC,pf
Future Fund,FF,pf
Fidelity International,FIDELITY,am
Fisch Asset Management,Fisch,am
Fukoku Mutual Life Insurance,Fukoku,ins
Fullerton Fund Management,Fullerton,am
FWD Insurance,FWD,ins
GAM Investments,GAM,am
Government Employees Pension Fund,GEPF,pf
Goldman Sachs,GOLDMAN,am
Government Pension Fund Global,GPF,pf
Government Pension Investment Fund,GPIF,pf
Hana Financial Group,Hana,ab
Hang Seng Bank,HANGSENG,am
Stone Harbor Investment Partners,Harbor,am
Hong Leong Bank,HLB,ab
HSBC Asset Management,HSBCAM,am
HSBC,HSBCBank,ab
Industrial and Commercial Bank of China,ICBC,ab
Insight Investment,Insight,am
Invesco,Invesco,am
Ireland Strategic Investment Fund,ISIF,pf
Japan Post Insurance,JapanPost,ins
JPMorgan Chase,JPMORGAN,am
KB Financial Group,KBFG,ins
Krungthai Bank,Krungthai,ab
Employees Provident Fund,KWSP_EPF,pf
Kyobo Life Insurance,Kyobo,ins
Legal & General,Legal&General,am
Bureau of Labor Funds,LPF,pf
Bank Mandiri,Mandiri,ab
Manulife,Manulife,am
Maybank,Maybank,ab
Meiji Yasuda Life,MeijiYasuda,ins
BNY Mellon,Mellon,am
Mizuho Bank,Mizuho,ab
Morgan Stanley,Morgan,am
MUFG Bank,MUFG,ab
Muzinich & Co.,Muzinich,am
Nan Shan Life Insurance,NanShanLife,ins
Natixis,Natixis,am
Neuberger Berman,Neuberger,am
Ninety One,Ninetyone,am
Nippon Life,NipponLife,ins
National Pension Service,NPF,pf
New Zealand Superannuation Fund,NZSF,pf
OCBC Bank,OCBC,ab
PGIM Real Estate,PGIM,am
Pictet Group,PICTET,am
PIMCO,PIMCO,am
PineBridge Investments,Pinebridge,am
Ping An Insurance,PingAn,ins
Prudential,Prudential,ins
Postal Savings Bank of China,PSBC,ab
RHB Bank,RHB,ab
State Bank of India,SBI,ab
Siam Commercial Bank,SCB,ab
Schroders,Schroders,am
Shinhan Financial Group,Shinhan,ab
Shin Kong Insurance,ShinKong,ins
Sinopac Financial Holdings,Sinopac,am
Sumitomo Mitsui Trust Holdings,SMTH,am
Sun Life Financial,SunLife,ins
Taiwan Life Insurance,TaiwanLife,ins
TCW Group,TCW,am
TIAA,TIAA,am
Tokio Marine Holdings,TokioMarine,ins
T. Rowe Price,TROWEPRICE,am
UBS,UBS,am
United Overseas Bank,UOB,ab
UOB Asset Management,UOBAM,am
Vanguard,Vanguard,am
Value Partners,VP,am
Wellington Management,Wellington,am
