,name,text_cleaned,year
0,AXA,"I UNIVERSAL REGISTRATION DOCUMENT - ANNUAL REPORT 2019 - AXA I 3 Chairman’s Message In 2019, AXA demonstrated its capacity to deliver on its operational To further contribute to the fight against climate change, a major targets, while completing major transformative moves, in risk for insurers, AXA doubled its green investment target to €24bn, accordance with its Ambition 2020 strategic plan.",2019.0
1,AXA,"As curbing climate change is a collective challenge, AXA joined coalitions, such as the Net Zero Asset Owner Alliance, and forged new partnerships, for instance with the C40, a group of the world’s largest cities.",2019.0
2,AXA,"In 2019, we have further leveraged our expertise and economic strength to contribute to the fight against climate change by taking a series of new commitments to accelerate our contribution to a low-carbon and more resilient economy.",2019.0
3,AXA,■ AXA is a responsible leader and has launched in 2019 a new phase in its climate strategy to accelerate its contribution to the transition towards a low-carbon and resilient economy.,2019.0
4,AXA,"Apart from China, the Group focused on driving volatility of risks are also evolving, notably driven by climate growth in its current strongholds (Japan and Hong Kong) and change and natural catastrophes, the evolution of technology high potentials (Indonesia, Thailand and Philippines) through and the global interconnection of businesses increasing supply transforming agency distribution and enhancing insurance and chain risk and business interruption.",2019.0
5,AXA,"Since this year, RobecoSAM teams have The CDP (formerly known as the Carbon Disclosure Project) runs joined Standard & Poor’s.",2019.0
6,AXA,"HealthAssist provides companies with a holistic approach to wellbeing, by combining the security of a traditional employer’s liability insurance policy with the additional benefit of a wellness, health and injury rehabilitation liability, construction, marine, energy, aviation & satellite, fine art & specie, equine, livestock & aquaculture, accident & health service; and crisis management, among other risks; ■ Design Professional’s mobile compatible with online Contract ■ through its reinsurance operations, AXA XL provides casualty, property risk, property catastrophe, specialty, and other reinsurance lines on a global basis with business being written on both a proportional and non-proportional treaty basis, as well as a facultative basis; eGuide for Design Professionals: a Risk Management handbook for architects and engineers.",2019.0
7,AXA,"The United States Property sector saw carriers take measures In Europe, political climate and trade tensions resulted in a slow in 2019 to restore profitability in a sector that has been, over the economic environment, constraining Property & Casualty turnover past years, impacted by significant natural events and man-made growth.",2019.0
8,AXA,"However, appetite remains somehow restrained by capital constraints on investors sides as well as by the stringent regulatory environment on the asset managers investors retreat from volatile markets into safe havens, while Separately, asset managers continued to mirror the evolution accommodative monetary policies combined with equity markets of societal trends notably by widening and expanding their at an all-time high saw investors return into riskier asset classes Environmental, Social and Governance (ESG) investments off ers, or by re-assessing their off er in certain asset classes and industries (including firearms, coal, tobacco, fossil fuels, etc.",2019.0
9,AXA,"AXA launches a new phase in its climate strategy to accelerate its contribution to a low- carbon and more resilient economy On November 27, 2019, AXA announced the launch of a new phase in its climate strategy, which aims to accelerate its contribution to the transition towards a more sustainable and less carbon- intensive economy by 2050, in line with the objectives of the Paris Agreement.",2019.0
10,AXA,"This announcement was made during the “AXA Climate Impact Day”, an event organized by AXA in collaboration with the United Nations Principles for Sustainable Insurance (UN PSI).",2019.0
11,AXA,"AXA will also invest in “transition bonds”, an innovative asset class conceptualized by AXA Investment Managers to support companies AXA’s target is to open up to 50 medical clinics which would serve shift ing towards less carbon-intensive business models.",2019.0
12,AXA,"Aft er full exit from coal companies with coal-based business These centers will provide access to advanced diagnostics, model, AXA sets a new ambition towards a 0% coal energy world.",2019.0
13,AXA,(5) AXA tested the “investment temperature” concept in its 2019 Climate report as an institutional investor’s response to the Paris Agreement.,2019.0
14,AXA,2 OPERATING HIGHLIGHTS AS A GLOBAL INSURER AXA will leverage its climate expertise and innovative technologies to provide new protection services to its customers and society.,2019.0
15,AXA,"The Group, through AXA Climate, will notably launch FastCat, a On December 10, 2019, Fitch Ratings aff irmed the financial strength new parametric assistance service, in December.",2019.0
16,AXA,"On July 24, 2019, S&P Global Ratings aff irmed the long-term financial strength rating of AXA’s core operating subsidiaries at Our conviction has always been that the fight against climate change requires cooperation between all stakeholders to drive The new tagline has been deployed with a global campaign imagery and drones, to support communities and corporations facing natural disasters such as floods, earthquakes, cyclones and wildfires.",2019.0
17,AXA,"This is why AXA has decided to join the recently launched “Net Zero Asset Owner Alliance”, a coalition of institutional investors committed to transitioning their investments to “net-zero” greenhouse gas emissions by 2050 to align their portfolios with a 1.",2019.0
18,AXA,"AXA will notably contribute to this initiative by sharing its expertise on climate finance methodology tools, which are key to eff ectively finance the transition to a green economy eff ectively.",2019.0
19,AXA,"These factors include, among others, concerns over a potential slowdown in economic growth and levels of consumer confidence generally; current market conditions, including asset valuations and volatility, that may lead to an abrupt and significant repricing in financial markets; the strengthening or weakening of foreign currencies, in particular the US Dollar, against the Euro; the availability and cost of credit; the stability and solvency of certain financial institutions and other companies, including related systemic credit risk concerns; rising trade tensions, “trade wars”, and other governmental measures, either enacted or being contemplated relating to tariff s or international trade agreements and policies; continuing concerns over certain sovereign debt issuers; inflation or deflation in certain markets; central bank intervention in the financial markets, such as the recent decision of the European Central Bank to restart its asset purchase program, and uncertainty regarding potential central bank intervention in European and other markets, through quantitative easing or similar programs or the winding down or cessation of such programs; changes in reference rates, including reforms to and potential changes aff ecting Libor, Euribor and other indices; volatile energy costs; adverse geopolitical events (including acts of terrorism or military conflicts) and rising geopolitical tensions in various regions, including Russia, Ukraine, Latin America, Syria, Iraq or North Korea; recent developments such as the latest political events in the United Kingdom, Spain, Germany, Italy and Hong Kong and the European Union; and continuing political uncertainty regarding the United States.",2019.0
20,AXA,"is oft en more pronounced in certain geographic areas, including Over the past several years, changing weather patterns and major urban centers, with a high concentration of customers, climatic conditions, including as a result of climate change, employees and/or insured property and assets.",2019.0
21,AXA,"In particular, the consequences of climate change might significantly impact the insurance and reinsurance industry, including with respect to risk perception, pricing and modelling assumptions, and the need for new insurance products, all of which may create unforeseen risks and costs not currently known to us.",2019.0
