,Company,Initiatives
0,DaiichiLife,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'FTSE Russell', 'UN Global Compact', 'Carbon Disclosure Project', 'Principles for Financial Action for the 21st Century', 'Global Real Estate Sustainability Benchmark', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Climate Bonds Initiative', 'Green Bond Principles']"
1,TokioMarine,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'United Nations Framework Convention on Climate Change', 'Intergovernmental Panel on Climate Change', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'Principles for Financial Action for the 21st Century', 'FTSE Russell', 'Carbon Disclosure Project']"
2,PingAn,"['FTSE Russell', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Stock Exchange of Hong Kong', 'Sustainable Development Goals', 'Climate Action 100+', 'UN Global Compact', 'Intergovernmental Panel on Climate Change', 'Carbon Disclosure Project', 'Green Investment Principle', 'Climate Bonds Initiative', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles']"
3,Kyobo,"['Global Reporting Initiative', 'Carbon Disclosure Project', 'UN Global Compact', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure']"
4,AXA,"['FTSE Russell', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Climate Action 100+', 'UN Global Compact', 'Science Based Targets initiative', 'Task Force on Climate-related Financial Disclosure', 'Climate Bonds Initiative', 'Intergovernmental Panel on Climate Change', 'Green Bond Principles', 'Carbon Risk Real Estate Monitor', 'Carbon Disclosure Project']"
5,FWD,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure']"
6,SunLife,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles', 'Intergovernmental Panel on Climate Change', 'UN Global Compact']"
7,MeijiYasuda,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']"
8,Fukoku,"['Principles for Responsible Investment', 'Sustainable Development Goals']"
9,Cathay,"['Equator Principles', 'Principles for Responsible Banking', 'Principles for Responsible Investment', 'UN Global Compact', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Climate Action 100+']"
10,NanShanLife,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Global Reporting Initiative', 'Principles for Responsible Investment']"
11,TaiwanLife,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']"
12,AIA,"['Sustainable Development Goals', 'UN Global Compact', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+', 'FTSE Russell']"
13,ShinKong,"['Global Reporting Initiative', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles']"
14,JapanPost,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact']"
15,Prudential,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Global Reporting Initiative', 'UN Global Compact', 'Principles for Responsible Investment', 'Stock Exchange of Hong Kong', 'Carbon Disclosure Project', 'Climate Action 100+', 'International Corporate Governance Network', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change']"
16,KBFG,"['Global Reporting Initiative', 'Equator Principles', 'Task Force on Climate-related Financial Disclosure', 'Intergovernmental Panel on Climate Change', 'Partnership for Carbon Accounting Financials', 'Science Based Targets initiative', 'Green Bond Principles', 'Principles for Responsible Banking', 'Collective Commitment to Climate Action', 'Carbon Disclosure Project', 'Net Zero Bank Alliance', 'UN Global Compact', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Principles for Responsible Investment']"
17,NipponLife,"['Equator Principles', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals']"
18,DGB,"['Principles for Responsible Banking', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Sustainable Development Goals', 'Global Reporting Initiative', 'Carbon Disclosure Project']"
19,AsahiMutual,"['Sustainable Development Goals', 'Principles for Responsible Investment']"
