,Company,Initiatives
0,NZSF,"['Climate Action 100+', 'Investor Group on Climate Change', 'Carbon Disclosure Project']"
1,AP7,"['Sustainable Development Goals', 'UN Global Compact', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+']"
2,FF,['International Corporate Governance Network']
3,FDC,"['Carbon Disclosure Project', 'Global Real Estate Sustainability Benchmark', 'Intergovernmental Panel on Climate Change', 'Paris Agreement Capital Transition Assessment', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Sustainable Development Goals', 'Climate Action 100+', 'Climate Bonds Initiative', 'Green Bond Principles', 'Institutional Investors Group on Climate Change']"
4,AP2,"['Global Reporting Initiative', 'UN Global Compact', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Intergovernmental Panel on Climate Change', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure', 'Science Based Targets initiative', 'Investor Group on Climate Change', 'Global Real Estate Sustainability Benchmark', 'Institutional Investors Group on Climate Change', 'United Nations Framework Convention on Climate Change', 'Carbon Disclosure Project']"
5,NPF,"['Principles for Responsible Investment', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Asia Investor Group on Climate Change', 'UN Global Compact', 'United Nations Environment Program Finance Initiative']"
6,LPF,['Global Reporting Initiative']
7,AP1,"['Sustainable Development Goals', 'UN Global Compact', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+', 'Global Real Estate Sustainability Benchmark', 'Global Reporting Initiative', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Principles for Responsible Investment']"
8,ISIF,"['Principles for Responsible Investment', 'Equator Principles', 'Sustainable Development Goals', 'UN Global Compact', 'Carbon Disclosure Project', 'Climate Action 100+']"
9,AP3,"['Climate Action 100+', 'Institutional Investors Group on Climate Change', 'Investor Group on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Sustainable Development Goals', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Intergovernmental Panel on Climate Change', 'Green Bond Principles', 'Global Real Estate Sustainability Benchmark']"
10,AP4,"['Portfolio Decarbonization Coalition ', 'Sustainable Development Goals', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Global Real Estate Sustainability Benchmark', 'Global Reporting Initiative', 'Investor Group on Climate Change']"
11,GEPF,"['International Corporate Governance Network', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Global Reporting Initiative']"
12,CPF,[]
13,GPF,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'The Greenhouse Gas Protocol', 'UN Global Compact', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Principles for Responsible Investment', 'FTSE Russell', 'Intergovernmental Panel on Climate Change', 'Stock Exchange of Hong Kong']"
14,EPF,[]
15,CPP,"['Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Global Real Estate Sustainability Benchmark', 'Intergovernmental Panel on Climate Change', 'Principles for Responsible Investment', 'International Corporate Governance Network', 'Institutional Investors Group on Climate Change', 'Sustainability Accounting Standards Board', 'Network of Central Banks and Supervisors for Greening the Financial System']"
16,GPIF,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'FTSE Russell', 'Carbon Risk Real Estate Monitor', 'International Corporate Governance Network', 'Climate Action 100+']"
17,KWSP_EPF,"['Principles for Responsible Investment', 'Sustainable Development Goals']"
