,name,text_cleaned,year,type
0,CPF,,2020.0,pf
1,GPF,Thousand tonnes CO2 equivalents 30 New divestments 13 New exclusions Contents 1 4 2 INTRODUCTION ESTABLISHING PRINCIPLES 1.,2018.0,pf
2,GPF,"We engaged with companies on banks’ climate disclosure, banks’ financing of deforestation, tax and transparency at UK companies, marine pollution from agriculture, and the marketing of breast-milk substitutes.",2018.0,pf
3,GPF,"We have a particular interest in the risks and opportunities associated with climate change, water management and children’s rights, and have formulated clear 18 Environmental, social and governance issues can have an impact on companies’ performance.",2018.0,pf
4,GPF,We support the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD) set up by the G20’s Financial Stability Board.,2018.0,pf
5,GPF,We are working with companies to ensure that they are equipped for the transition to a low-carbon economy.,2018.0,pf
6,GPF,"We invest specially in climate mandates, adjust the portfolio through divestments, and consider climate issues in our investment decisions.",2018.0,pf
7,GPF,We also analyse green- house gas emissions from companies in our portfolio and various climate scenarios for the fund.,2018.0,pf
8,GPF,"These positive externalities can include reduced pollution, lower energy costs and more efficient use of resources.",2018.0,pf
9,GPF,Joint solutions to global challenges such as climate change and environmental degradation will increase the resilience of our portfolio.,2018.0,pf
10,GPF,CDP (formerly the Carbon Disclosure Project) requested input on two new questionnaires: one for financial services and one for metals and mining.,2018.0,pf
11,GPF,"1 Membership of organisations and initiatives Topic Corporate governance Organisation Description African Corporate Governance Network (ACGN) Network of director membership organisations in Africa Asian Corporate Governance Association (ACGA) Membership organisation for investors and companies in Asia Council of Institutional Investors (CII) Association of investors in the US European Corporate Governance Institute (ECGI) International Corporate Governance Network (ICGN) Academia-practitioner research network International association of investors Sustainability CDP Climate; CDP Forest; CDP Water Environmental reporting initiatives Institutional Investor Group on Climate Change (IIGCC) Norsif One Planet Sovereign Wealth Fund Working Group Task Force on Climate-related Financial Disclosure (TCFD) Investor initiative (Europe) 31 Norwegian sustainable investment forum Group of Sovereign Wealth Funds International reporting framework Principles for Responsible Investment (PRI) International principles for investors United Nations Environment Programme Finance Initiative (UNEP FI) Multi-stakeholder initiative for sustainable finance UN Global Compact International business principles UN Global Compact Action Platform on Sustai- nable Ocean Business Multi-stakeholder initiative for ocean sustainability Expectations We publish expectations of companies, position papers on governance issues and guidelines for our voting.",2018.0,pf
12,GPF,"Besides publishing these two new documents, we updated our expectations on climate change and water management during the year.",2018.0,pf
13,GPF,"We have issued expectation documents on children’s rights (2008), climate change (2009), water management (2010), human rights (2016), Climate change will impact on most sectors and markets in the longer term.",2018.0,pf
14,GPF,"In the expectations on climate change, we clarified our position on banks’ role in financing coal- based industries.",2018.0,pf
15,GPF,"We also ask for information on other lending for activities based on fossil fuels, such as extraction, infrastructure and power stations.",2018.0,pf
16,GPF,"This gives us a basis to assess how exposed banks are to risks in the transition to a low- carbon economy, as part of the TCFD recommendations.",2018.0,pf
17,GPF,"In addition, we request disclosure of physical climate risks and express expectations for the reporting of information on assets and facilities, including location and technical data.",2018.0,pf
18,GPF,"2 Expectations of companies Markets The fund UN Global Compact established UN Principles for Responsible Investment established UN Principles for Business and Human Rights adopted UN Sustainability Goals and Paris Agreement adopted Task Force on Climate-related Financial Disclosures established UN Global Compact establishes Ocean Platform 2000 2006 2007 2008 2009 2010 2011 2014 2015 2016 2017 2018 Children’s rights and climate change defined as focus areas Company dialogue on climate risk in the US and child labour in India Expectations on children’s rights, initiative against child labour in cocoa production Expectations on climate change Expectations on water management 39 Publishing the fund’s carbon footprint Executive Board principles for responsible investment management Expectations on human rights Expectations on tax and transparency Expectations on anti-corruption and ocean sustainability Climate scenarios for the fund Research We are keen to develop our understanding of good corporate governance and sustainability, and how they impact on financial risks and returns.",2018.0,pf
19,GPF,"3 Climate change data We are supporting research into the financial impacts of climate change, an area previously given little attention in finance research.",2018.0,pf
20,GPF,"The project is looking at methods for measuring and modelling environmental risks, and how modern risk management techniques and hedging portfolios can be used to account for climate risks dynamically in the composition of investment portfolios.",2018.0,pf
21,GPF,The researchers are also working on improving estimates of the long-term discount rate when investing in climate projects.,2018.0,pf
22,GPF,"In April, the Volatility Institute dedicated its annual conference entirely to finance research and market practices relating to climate risks.",2018.0,pf
23,GPF,"As part of the project, the institute publishes regularly updated climate risk data on its V-Lab website.",2018.0,pf
24,GPF,"To encourage more leading finance scholars to look at climate issues, we also awarded a three- year grant to Professor Harrison Hong at Columbia University to conduct research and hold two research conferences on climate change and capital market efficiency.",2018.0,pf
25,GPF,"The researchers are looking at how companies and markets form climate change expectations, and how this impacts on behaviour and trading decisions.",2018.0,pf
26,GPF,"Topics include asset pricing, corporate governance, profitability, risk management and the consequences of climate change for real estate markets.",2018.0,pf
27,GPF,"The findings indicate that climate change can have implications for pricing, and that many participants are trying to take account of this.",2018.0,pf
28,GPF,"By supporting these two projects, we hope to pave the way for more research into how future physical and regulatory scenarios might affect the markets, as well as tools for addressing climate uncertainty and variations across sectors and asset classes.",2018.0,pf
29,GPF,"As part of the completion of the project, the research group published a synthesis report in 2018 looking at areas such as changes in climate cycles and the risk of dam failures, and how the environmental and social risks associated with mining projects can be integrated into valuation models through real options modelling.",2018.0,pf
30,GPF,"We expressed support for the board’s proposed new policy for executive remuneration at The Weir Group Plc, better reporting on greenhouse gas emissions at TransCanada Corp and Kinder Morgan Inc, better reporting on water management at Imperial Oil Ltd, and the unbundling of director elections at Boliden AB.",2018.0,pf
31,GPF,46 Announced voting intentions in 2018 Company Voting position The Weir Group Plc Support for remuneration policy Imperial Oil Ltd Support for water-related shareholder proposal TransCanada Corp Support for shareholder proposal on climate change Boliden AB Support for unbundled board elections Kinder Morgan Inc Support for shareholder proposal on methane emissions management Exercising ownership 3.,2018.0,pf
32,GPF,"These resolutions cover areas such as how companies report on environmental risks such as climate change and water management, and social risks such as human rights violations.",2018.0,pf
33,GPF,Our voting reflected our published expectation that companies in our portfolio should plan for different climate scenarios.,2018.0,pf
34,GPF,Percent Category Environment Social issues Governance Topic Climate change Water management Other environmental topics Human rights Children's rights Tax and transparency Anti-corruption Other social topics Board accountability and effectiveness Remuneration Shareholder rights Other governance topics 272 75 214 64 27 59 50 217 233 196 108 811 16.,2018.0,pf
35,GPF,"The most important topics raised in 2018 were banks’ climate disclosure, deforestation, automotive supply chains, tax and transparency at UK companies, nutrient run-off from agriculture, the marketing of breast-milk substitutes, and the management of corruption risks.",2018.0,pf
36,GPF,Banks’ climate disclosure We use our ownership to help ensure that companies in the portfolio are equipped for the transition to a low-carbon economy.,2018.0,pf
37,GPF,We consider it to be in the fund’s interests for international climate goals to be achieved in an economically efficient manner.,2018.0,pf
38,GPF,We want companies to give sufficient attention to climate issues and have the commercial flexibility to adjust to the transition.,2018.0,pf
39,GPF,This followed up our dialogue with banks in 2017 on adopting the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD).,2018.0,pf
40,GPF,"This means reporting on how they have addressed climate change in their governance work, strategy, risk management and the targets they have set themselves as a result of this.",2018.0,pf
41,GPF,"Methods for climate scenario analysis are still evolving, and there is not yet any widely accepted standard.",2018.0,pf
42,GPF,"We believe that banks that lend to palm oil producers should have policies to protect natural carbon sinks and avoid deforestation, destruction of peat bogs and exploitation of indigenous peoples and local communities.",2018.0,pf
43,GPF,"We raise these topics regularly in our dialogue with companies ahead of the annual 63 64 Social issues Selected company dialogue on strategic topics Category Expectation Company Details Environ- ment Climate change DBS Group Holdings Ltd Financing of palm oil Banco do Brasil SA Financing of soy, beef Banco Bradesco SA Financing of soy, beef CJ CheilJedang Corp Soy commodity traders Barclays Plc Swedbank AB Implementation of the TCFD recommendations Implementation of the TCFD recommendations Water management Hormel Foods Corp WH Group Ltd Nutrient run-off Nutrient run-off Sanderson Farms Inc Nutrient run-off Children’s rights China Mengniu Dairy Co Ltd Infant formula marketing Abbott Laboratories Infant formula marketing Bellamy's Australia Ltd Infant formula marketing Human rights Peugeot SA Responsible cobalt sourcing Tax and transparency General Motors Co Responsible cobalt sourcing Fiat Chrysler Automobiles NV Responsible cobalt sourcing Anglo American Plc Tax policies – UK companies BHP Billiton Plc Tax policies – UK companies BP Plc Tax policies – UK companies Anti-corruption Novartis AG Reporting in exposed sectors Glencore Plc Reporting in exposed sectors Credit Suisse Group AG Reporting in exposed sectors Start 2017 2018 2018 2018 2017 2017 2018 2018 2018 2018 2018 2018 2018 2018 2018 2018 2018 2018 2018 2018 2018 Exercising ownership 3.",2018.0,pf
44,GPF,"In 2018, we assessed 1,700 companies’ reporting on climate change, 598 companies’ reporting on water management and 600 companies’ reporting on children’s rights.",2018.0,pf
45,GPF,"In 2018, we sent letters to 35 companies on children’s rights, 35 on climate change and 30 on water management.",2018.0,pf
